
this is long file 

"ExpNo" "TreatNo" "Date" "Variable" "simValue" "obsValue" "Error"
"314" 1 2 "28/03/2011" "StemDM" 7388.33 4263 455
"315" 1 2 "29/11/2010" "LeafLigules" 4.573 3.39 0.49
"316" 1 2 "30/12/2010" "AboveDM" 4981.939 2118 536
"317" 1 2 "30/12/2010" "LAI" 4.327 1.98 0.39
"318" 1 2 "30/12/2010" "LeafDM" 1917.909 1025 222
"319" 1 2 "30/12/2010" "LeafLigules" 13.148 8.33 0.48
"320" 1 2 "30/12/2010" "LightInt" 0.85 0.72 0.02
"321" 1 2 "30/12/2010" "StemDM" 2508.824 1094 315
"322" 10 1 "10/11/2009" "stage_code" 2 2.87 0.06
"323" 10 1 "11/11/2009" "stage_code" 2 2.97 0.02
"324" 10 1 "12/11/2009" "stage_code" 3 2.99 0.02
"325" 10 1 "18/01/2010" "LeafLigules" 12.325 18.6 0
"326" 10 1 "20/01/2010" "LAI" 4.434 7.07 0.02
"327" 10 1 "20/01/2010" "stage_code" 5 6.08 0.06
"328" 10 1 "20/04/2010" "GrainDM" 6949.004 7072 0
"329" 10 1 "21/04/2010" "GrainDM" 7063.374 9139 0
"330" 10 1 "22/01/2010" "LeafLigules" 13.439 18.8 0
"331" 10 1 "22/01/2010" "stage_code" 5 6.38 0.48
"332" 10 1 "25/01/2010" "stage_code" 5 7 0
"333" 10 10 "01/12/2009" "stage_code" 2 2.75 0.35
"334" 10 10 "02/12/2009" "stage_code" 3 2.83 0.25
"335" 10 10 "03/02/2010" "LeafLigules" 12.271 19.4 0
"336" 10 10 "04/02/2010" "LAI" 3.857 7.34 0.69
"337" 10 10 "05/02/2010" "LeafLigules" 12.271 18.8 0
"338" 10 10 "05/02/2010" "stage_code" 7 6.24 0
"339" 10 10 "08/02/2010" "stage_code" 7 6.74 0.31
"340" 10 10 "10/02/2010" "stage_code" 7 6.82 0.25
"341" 10 10 "11/05/2010" "GrainDM" 8892.078 7169 1565
"342" 10 10 "12/02/2010" "stage_code" 7 6.76 0
"343" 10 10 "15/02/2010" "stage_code" 7 6.96 0
"344" 10 10 "30/11/2009" "stage_code" 2 2.68 0.35
"345" 10 2 "01/02/2010" "LAI" 3.925 6.67 0.39
"346" 10 2 "01/02/2010" "LeafLigules" 11.789 18.6 0
"347" 10 2 "01/02/2010" "LeafLigules" 11.789 18.4 0
"348" 10 2 "01/12/2009" "stage_code" 2 2.61 0.34
"349" 10 2 "02/12/2009" "stage_code" 3 2.67 0.28
"350" 10 2 "03/02/2010" "stage_code" 5 6.18 0.03
"351" 10 2 "05/02/2010" "stage_code" 5 6.62 0.25
"352" 10 2 "08/02/2010" "stage_code" 5 6.76 0.17
"353" 10 2 "10/02/2010" "stage_code" 5 6.9 0.08
"354" 10 2 "11/05/2010" "GrainDM" 5360.337 6989 895
"355" 10 2 "12/02/2010" "stage_code" 5 6.96 0
"356" 10 2 "30/11/2009" "stage_code" 2 2.51 0.35
"357" 10 3 "10/11/2009" "stage_code" 2 2.93 0
"358" 10 3 "11/11/2009" "stage_code" 2 2.97 0.02
"359" 10 3 "12/11/2009" "stage_code" 3 2.97 0.02
"360" 10 3 "15/01/2010" "LeafLigules" 12.676 19 0
"361" 10 3 "15/01/2010" "stage_code" 6 6.04 0
"362" 10 3 "17/01/2010" "LAI" 4.093 6.59 0.19
"363" 10 3 "18/01/2010" "LeafLigules" 12.676 18.8 0
"364" 10 3 "18/01/2010" "stage_code" 6 6.24 0
"365" 10 3 "20/01/2010" "stage_code" 7 6.64 0.17
"366" 10 3 "20/04/2010" "GrainDM" 9367.656 12001 0
"367" 10 3 "22/01/2010" "stage_code" 7 6.98 0.03
"368" 10 3 "25/01/2010" "stage_code" 7 7 0
"369" 10 3 "30/04/2010" "GrainDM" 9367.656 7508 0
"370" 10 4 "01/02/2010" "stage_code" 6 6.34 0.03
"371" 10 4 "01/12/2009" "stage_code" 2 2.74 0.25
"372" 10 4 "02/12/2009" "stage_code" 3 2.76 0.25
"373" 10 4 "03/02/2010" "stage_code" 7 6.72 0.06
"374" 10 4 "05/02/2010" "stage_code" 7 6.88 0.06
"375" 10 4 "08/02/2010" "stage_code" 7 6.92 0.06
"376" 10 4 "10/02/2010" "stage_code" 7 6.92 0
"377" 10 4 "11/05/2010" "GrainDM" 8892.078 6367 458
"378" 10 4 "12/02/2010" "stage_code" 7 7 0
"379" 10 4 "29/01/2010" "LAI" 3.868 6.32 0.33
"380" 10 4 "29/01/2010" "LeafLigules" 12.271 19 0
"381" 10 4 "29/01/2010" "LeafLigules" 12.271 19.4 0
"382" 10 4 "30/11/2009" "stage_code" 2 2.66 0.32
"383" 10 5 "10/11/2009" "stage_code" 2 2.87 0.12
"384" 10 5 "11/11/2009" "stage_code" 2 3 0
"385" 10 5 "12/11/2009" "stage_code" 3 3 0
"386" 10 5 "14/01/2010" "LAI" 3.701 6.52 0.94
"387" 10 5 "14/01/2010" "LeafLigules" 11.501 16.7 0.42
"388" 10 5 "14/01/2010" "stage_code" 5 6.18 0.08
"389" 10 5 "15/01/2010" "stage_code" 5 6.46 0.03
"390" 10 5 "18/01/2010" "stage_code" 5 7 0
"391" 10 5 "20/04/2010" "GrainDM" 7002.038 6982 0
"392" 10 5 "21/04/2010" "GrainDM" 7115.684 7301 0
"393" 10 6 "01/02/2010" "stage_code" 5 6.72 0.11
"394" 10 6 "01/12/2009" "stage_code" 2 2.84 0.11
"395" 10 6 "02/12/2009" "stage_code" 3 2.87 0.09
"396" 10 6 "03/02/2010" "stage_code" 5 6.8 0.06
"397" 10 6 "05/02/2010" "stage_code" 5 6.88 0.06
"398" 10 6 "08/02/2010" "stage_code" 5 6.96 0.06
"399" 10 6 "10/02/2010" "stage_code" 5 7 0
"400" 10 6 "11/05/2010" "GrainDM" 5348.917 6967 1042
"401" 10 6 "27/01/2010" "LeafLigules" 10.355 17 0
"402" 10 6 "28/01/2010" "LAI" 3.099 6 0.68
"403" 10 6 "29/01/2010" "LeafLigules" 10.925 16.2 0
"404" 10 6 "29/01/2010" "stage_code" 5 6.32 0
"405" 10 6 "30/11/2009" "stage_code" 2 2.73 0.17
"406" 10 7 "01/02/2010" "LAI" 4.648 9.01 1.24
"407" 10 7 "01/02/2010" "LeafLigules" 14.524 21.8 0
"408" 10 7 "01/02/2010" "LeafLigules" 14.524 21.2 0
"409" 10 7 "03/02/2010" "stage_code" 7 6.5 0.54
