ExpNo	TreatNo	Date	obsValue	Error	Variable
2	3	24/04/2009	11657	832	StemDM
2	2	23/03/2009	6707	922	StemDM
2	4	24/04/2009	7807	354	StemDM
2	5	23/03/2009	5871	1166	StemDM
2	7	24/04/2009	7072	1239	StemDM
2	6	06/03/2009	5632	1116	StemDM
2	8	03/04/2009	7518	1035	StemDM
2	1	24/04/2009	3103	304	LeafDM
2	3	24/04/2009	3712	165	LeafDM
2	2	23/03/2009	2534	235	LeafDM
2	4	24/04/2009	3389	127	LeafDM
2	5	23/03/2009	1905	240	LeafDM
2	7	24/04/2009	2689	142	LeafDM
2	6	06/03/2009	1642	143	LeafDM
2	8	03/04/2009	2586	387	LeafDM
2	1	24/04/2009	12439	2164	GrainDM
2	3	21/04/2009	3194	755	GrainDM
2	3	24/04/2009	3406	1135	GrainDM
2	2	23/03/2009	15003	1104	GrainDM
2	4	23/03/2009	3312	1419	GrainDM
2	4	21/04/2009	9601	2289	GrainDM
2	4	24/04/2009	10265	510	GrainDM
2	5	23/03/2009	12215	1436	GrainDM
2	7	23/03/2009	5115	357	GrainDM
2	7	21/04/2009	10583	658	GrainDM
2	7	24/04/2009	10015	806	GrainDM
2	6	06/03/2009	12395	1516	GrainDM
2	8	05/03/2009	3444	1049	GrainDM
2	8	23/03/2009	9292	1761	GrainDM
2	8	03/04/2009	11777	1689	GrainDM
2	3	05/02/2009	6	0	stage_code
2	3	07/02/2009	6	0	stage_code
2	3	09/02/2009	6	0	stage_code
2	3	11/02/2009	6	0	stage_code
2	3	13/02/2009	6	0	stage_code
2	3	14/02/2009	6	0	stage_code
2	3	16/02/2009	6	0	stage_code
2	3	18/02/2009	6.02	0.03	stage_code
2	3	21/02/2009	6.18	0.14	stage_code
2	3	23/02/2009	6.38	0.25	stage_code
2	3	25/02/2009	6.42	0.28	stage_code
2	3	27/02/2009	6.53	0.2	stage_code
2	3	02/03/2009	6.72	0.08	stage_code
2	3	06/03/2009	6.93	0.04	stage_code
2	4	05/02/2009	6.02	0.03	stage_code
2	4	07/02/2009	6.17	0.13	stage_code
2	4	09/02/2009	6.58	0.16	stage_code
2	4	11/02/2009	6.85	0.1	stage_code
2	4	13/02/2009	6.8	NA	stage_code
2	4	14/02/2009	6.88	0.08	stage_code
2	7	02/02/2009	6.15	NA	stage_code
2	7	05/02/2009	6.2	0.3	stage_code
2	7	07/02/2009	6.37	0.25	stage_code
2	7	09/02/2009	6.53	0.29	stage_code
2	7	11/02/2009	6.72	0.28	stage_code
2	7	13/02/2009	6.5	NA	stage_code
2	7	14/02/2009	6.73	0.29	stage_code
2	7	16/02/2009	6.65	NA	stage_code
2	7	18/02/2009	6.8	NA	stage_code
2	8	23/01/2009	6.1	NA	stage_code
2	8	25/01/2009	6.43	0.1	stage_code
2	8	26/01/2009	6.28	0.14	stage_code
2	8	28/01/2009	6.65	0.13	stage_code
2	8	30/01/2009	6.8	0.05	stage_code
2	8	02/02/2009	6.93	0.06	stage_code
2	8	05/02/2009	6.98	0.03	stage_code
3	1	18/01/2008	6	0	stage_code
3	1	21/01/2008	6.03	0.03	stage_code
3	1	23/01/2008	6.23	0.23	stage_code
3	1	25/01/2008	6.49	0.36	stage_code
3	1	28/01/2008	6.78	0.13	stage_code
3	2	11/01/2008	6.31	0.18	stage_code
3	2	14/01/2008	6.68	0.17	stage_code
3	2	16/01/2008	6.89	0.13	stage_code
3	2	18/01/2008	6.98	0.03	stage_code
3	2	21/01/2008	7	0	stage_code
3	3	18/01/2008	6	0	stage_code
3	3	21/01/2008	6.46	0.17	stage_code
3	3	23/01/2008	6.85	0.11	stage_code
3	3	25/01/2008	6.95	0.06	stage_code
3	3	28/01/2008	6.95	0	stage_code
3	4	11/01/2008	6.49	0.3	stage_code
3	4	14/01/2008	6.73	0.33	stage_code
3	4	16/01/2008	6.89	0.06	stage_code
3	4	18/01/2008	6.95	0.04	stage_code
3	4	21/01/2008	6.95	0.05	stage_code
3	1	09/01/2008	5998	1017	AboveDM
3	1	31/01/2008	13388	803	AboveDM
3	2	09/01/2008	8306	1689	AboveDM
3	2	31/01/2008	14290	1567	AboveDM
3	2	18/03/2008	33323	4686	AboveDM
3	2	25/03/2008	32915	5328	AboveDM
3	3	09/01/2008	6739	1418	AboveDM
3	3	31/01/2008	11293	1728	AboveDM
3	3	31/03/2008	27547	1739	AboveDM
3	4	09/01/2008	9020	1114	AboveDM
3	4	31/01/2008	15332	1129	AboveDM
3	4	18/03/2008	29890	4041	AboveDM
3	1	09/01/2008	2517	407	LeafDM
3	1	31/01/2008	3943	114	LeafDM
3	2	09/01/2008	2919	470	LeafDM
3	2	31/01/2008	3201	244	LeafDM
3	2	18/03/2008	4347	609	LeafDM
3	2	25/03/2008	4289	649	LeafDM
3	3	09/01/2008	2716	528	LeafDM
3	3	31/01/2008	3043	472	LeafDM
3	3	31/03/2008	3841	319	LeafDM
3	4	09/01/2008	2723	297	LeafDM
3	4	31/01/2008	2916	252	LeafDM
3	4	18/03/2008	3468	521	LeafDM
3	1	09/01/2008	3480	610	StemDM
3	1	31/01/2008	7935	619	StemDM
3	2	09/01/2008	5387	1226	StemDM
3	2	31/01/2008	7543	680	StemDM
3	2	18/03/2008	8875	1619	StemDM
3	2	25/03/2008	7713	1236	StemDM
3	3	09/01/2008	4023	891	StemDM
3	3	31/01/2008	6612	1012	StemDM
3	3	31/03/2008	6664	864	StemDM
3	4	09/01/2008	6297	829	StemDM
3	4	31/01/2008	7873	331	StemDM
3	4	18/03/2008	7051	1260	StemDM
3	2	18/03/2008	14829	2052	GrainDM
3	2	25/03/2008	16361	2801	GrainDM
3	3	31/03/2008	13591	484	GrainDM
3	4	18/03/2008	15260	1966	GrainDM
3	1	12/11/2007	1	0	LeafLigules
3	1	20/11/2007	2	0	LeafLigules
3	1	28/11/2007	3	0	LeafLigules
3	1	04/12/2007	4	0.16	LeafLigules
3	1	16/12/2007	5.9	0.12	LeafLigules
3	1	22/12/2007	6.65	0.44	LeafLigules
3	1	08/01/2008	9.55	0.38	LeafLigules
3	1	21/01/2008	13.55	0.81	LeafLigules
3	2	20/11/2007	3.92	0.26	LeafLigules
3	2	28/11/2007	5.7	0.12	LeafLigules
3	2	04/12/2007	6.75	0.38	LeafLigules
3	2	16/12/2007	8.55	0.19	LeafLigules
3	2	22/12/2007	9.5	0.2	LeafLigules
3	2	08/01/2008	14.14	0.36	LeafLigules
3	3	12/11/2007	1	0	LeafLigules
3	3	20/11/2007	2	0	LeafLigules
3	3	28/11/2007	3.6	0.28	LeafLigules
3	3	04/12/2007	4.3	0.48	LeafLigules
3	3	16/12/2007	6.1	0.26	LeafLigules
3	3	22/12/2007	6.7	0.12	LeafLigules
3	3	08/01/2008	10.1	0.38	LeafLigules
3	3	21/01/2008	16.05	0.1	LeafLigules
3	4	20/11/2007	4.25	0.29	LeafLigules
3	4	28/11/2007	5.75	0.34	LeafLigules
3	4	04/12/2007	6.85	0.1	LeafLigules
3	4	16/12/2007	8.05	0.19	LeafLigules
3	4	22/12/2007	9.25	0.44	LeafLigules
3	4	08/01/2008	15.15	1.64	LeafLigules
3	1	12/11/2007	3.4	0.33	LeafTips
3	1	20/11/2007	4.75	0.19	LeafTips
3	1	28/11/2007	6.75	0.25	LeafTips
3	1	04/12/2007	8.05	0.19	LeafTips
3	1	16/12/2007	11	0.16	LeafTips
3	1	22/12/2007	12.25	0.19	LeafTips
3	1	08/01/2008	15.5	0.42	LeafTips
3	1	21/01/2008	16.3	0.82	LeafTips
3	2	12/11/2007	5.38	0.25	LeafTips
3	2	20/11/2007	7.83	0.33	LeafTips
3	2	28/11/2007	10.65	0.3	LeafTips
3	2	04/12/2007	11.8	0.43	LeafTips
3	2	16/12/2007	14.4	0.52	LeafTips
3	2	22/12/2007	15.65	0.38	LeafTips
3	2	08/01/2008	17.49	0.24	LeafTips
3	3	12/11/2007	3.7	0.26	LeafTips
3	3	20/11/2007	4.85	0.3	LeafTips
3	3	28/11/2007	6.9	0.12	LeafTips
3	3	04/12/2007	8.1	0.26	LeafTips
3	3	16/12/2007	10.6	0.46	LeafTips
3	3	22/12/2007	12	0.16	LeafTips
3	3	08/01/2008	15.35	0.55	LeafTips
3	3	21/01/2008	15.85	0.44	LeafTips
3	4	12/11/2007	5.88	0.25	LeafTips
3	4	20/11/2007	8.02	0.24	LeafTips
3	4	28/11/2007	9.66	0.56	LeafTips
3	4	04/12/2007	11.51	0.24	LeafTips
3	4	16/12/2007	13.75	0.34	LeafTips
3	4	22/12/2007	15.3	0.48	LeafTips
3	4	08/01/2008	16.7	0.5	LeafTips
3	1	28/11/2007	0.11	0.02	LightInt
3	1	04/12/2007	0.14	0.02	LightInt
3	1	16/12/2007	0.44	0.05	LightInt
3	1	23/12/2007	0.66	0.03	LightInt
3	1	08/01/2008	0.9	0.03	LightInt
3	1	17/01/2008	0.93	0.03	LightInt
3	1	17/02/2008	0.98	0.02	LightInt
3	2	28/11/2007	0.22	0.13	LightInt
3	2	04/12/2007	0.39	0.06	LightInt
3	2	16/12/2007	0.79	0.04	LightInt
3	2	23/12/2007	0.84	0.03	LightInt
3	2	08/01/2008	0.91	0.05	LightInt
3	2	17/01/2008	0.94	0.01	LightInt
3	2	17/02/2008	0.96	0.02	LightInt
3	3	28/11/2007	0.05	0.03	LightInt
3	3	04/12/2007	0.14	0.02	LightInt
3	3	16/12/2007	0.47	0.04	LightInt
3	3	23/12/2007	0.66	0.1	LightInt
3	3	08/01/2008	0.9	0.04	LightInt
3	3	17/01/2008	0.95	0.04	LightInt
3	3	17/02/2008	0.96	0.03	LightInt
3	4	28/11/2007	0.23	0.08	LightInt
3	4	04/12/2007	0.33	0.03	LightInt
